"date","station","location","typ","taxa","abundance","bb"
"2021-04-07","S3T5b",275,"sav","Halophila decipiens","<1%",0
"2021-04-07","S3T5b",300,"mcr","Red","76-100%",5
"2021-04-07","S3T5b",300,"mcr","Green","<1%",0
"2021-04-07","S3T5b",300,"mcr","Brown","<1%",0
"2021-04-07","S3T5b",300,"mcr","Cyanobacteria","<1%",0
"2021-04-07","S3T5b",300,"sav","Thalassia testudinum","<1%",0
"2021-04-07","S3T5b",300,"sav","Halodule wrightii","<1%",0
"2021-04-07","S3T5b",300,"sav","Syringodium filiforme","26-50%",3
"2021-04-07","S3T5b",300,"sav","Ruppia maritima","<1%",0
"2021-04-07","S3T5b",300,"sav","Halophila engelmannii","<1%",0
"2021-04-07","S3T5b",300,"sav","Halophila decipiens","<1%",0
"2021-04-07","S3T6a",100,"mcr","Red","76-100%",5
"2021-04-07","S3T6a",100,"mcr","Green","<1%",0
"2021-04-07","S3T6a",100,"mcr","Brown","<1%",0
"2021-04-07","S3T6a",100,"mcr","Cyanobacteria","<1%",0
"2021-04-07","S3T6a",100,"sav","Thalassia testudinum","<1%",0
"2021-04-07","S3T6a",100,"sav","Halodule wrightii","<1%",0
"2021-04-07","S3T6a",100,"sav","Syringodium filiforme","76-100%",5
"2021-04-07","S3T6a",100,"sav","Ruppia maritima","<1%",0
"2021-04-07","S3T6a",100,"sav","Halophila engelmannii","<1%",0
"2021-04-07","S3T6a",100,"sav","Halophila decipiens","<1%",0
"2021-04-07","S3T6a",125,"mcr","Red","76-100%",5
"2021-04-07","S3T6a",125,"mcr","Green","1-5%",1
"2021-04-07","S3T6a",125,"mcr","Brown","<1%",0
"2021-04-07","S3T6a",125,"mcr","Cyanobacteria","<1%",0
"2021-04-07","S3T6a",125,"sav","Thalassia testudinum","<1%",0
"2021-04-07","S3T6a",125,"sav","Halodule wrightii","<1%",0
"2021-04-07","S3T6a",125,"sav","Syringodium filiforme","1-5%",1
"2021-04-07","S3T6a",125,"sav","Ruppia maritima","<1%",0
"2021-04-07","S3T6a",125,"sav","Halophila engelmannii","<1%",0
"2021-04-07","S3T6a",125,"sav","Halophila decipiens","<1%",0
"2021-04-07","S3T6a",150,"mcr","Red","76-100%",5
"2021-04-07","S3T6a",150,"mcr","Green","<1%",0
"2021-04-07","S3T6a",150,"mcr","Brown","<1%",0
"2021-04-07","S3T6a",150,"mcr","Cyanobacteria","<1%",0
"2021-04-07","S3T6a",150,"sav","Thalassia testudinum","<1%",0
"2021-04-07","S3T6a",150,"sav","Halodule wrightii","<1%",0
"2021-04-07","S3T6a",150,"sav","Syringodium filiforme","6-25%",2
"2021-04-07","S3T6a",150,"sav","Ruppia maritima","<1%",0
"2021-04-07","S3T6a",150,"sav","Halophila engelmannii","<1%",0
"2021-04-07","S3T6a",150,"sav","Halophila decipiens","<1%",0
"2021-04-07","S3T6b",250,"mcr","Red","26-50%",3
"2021-04-07","S3T6b",250,"mcr","Green","<1%",0
"2021-04-07","S3T6b",250,"mcr","Brown","<1%",0
"2021-04-07","S3T6b",250,"mcr","Cyanobacteria","<1%",0
"2021-04-07","S3T6b",250,"sav","Thalassia testudinum","<1%",0
"2021-04-07","S3T6b",250,"sav","Halodule wrightii","<1%",0
"2021-04-07","S3T6b",250,"sav","Syringodium filiforme","76-100%",5
"2021-04-07","S3T6b",250,"sav","Ruppia maritima","<1%",0
"2021-04-07","S3T6b",250,"sav","Halophila engelmannii","<1%",0
"2021-04-07","S3T6b",250,"sav","Halophila decipiens","<1%",0
"2021-04-07","S3T6b",275,"mcr","Red","76-100%",5
"2021-04-07","S3T6b",275,"mcr","Green","<1%",0
"2021-04-07","S3T6b",275,"mcr","Brown","<1%",0
"2021-04-07","S3T6b",275,"mcr","Cyanobacteria","<1%",0
"2021-04-07","S3T6b",275,"sav","Thalassia testudinum","<1%",0
"2021-04-07","S3T6b",275,"sav","Halodule wrightii","<1%",0
"2021-04-07","S3T6b",275,"sav","Syringodium filiforme","51-75%",4
"2021-04-07","S3T6b",275,"sav","Ruppia maritima","<1%",0
"2021-04-07","S3T6b",275,"sav","Halophila engelmannii","<1%",0
"2021-04-07","S3T6b",275,"sav","Halophila decipiens","<1%",0
"2021-04-07","S3T6b",300,"mcr","Red","6-25%",2
"2021-04-07","S3T6b",300,"mcr","Green","<1%",0
"2021-04-07","S3T6b",300,"mcr","Brown","<1%",0
"2021-04-07","S3T6b",300,"mcr","Cyanobacteria","<1%",0
"2021-04-07","S3T6b",300,"sav","Thalassia testudinum","<1%",0
"2021-04-07","S3T6b",300,"sav","Halodule wrightii","<1%",0
"2021-04-07","S3T6b",300,"sav","Syringodium filiforme","76-100%",5
"2021-04-07","S3T6b",300,"sav","Ruppia maritima","<1%",0
"2021-04-07","S3T6b",300,"sav","Halophila engelmannii","<1%",0
"2021-04-07","S3T6b",300,"sav","Halophila decipiens","<1%",0
"2021-04-08","CB-0",0,"mcr","Red","<1%",0
"2021-04-08","CB-0",0,"mcr","Green","<1%",0
"2021-04-08","CB-0",0,"mcr","Brown","<1%",0
"2021-04-08","CB-0",0,"mcr","Cyanobacteria","<1%",0
"2021-04-08","CB-0",0,"sav","Thalassia testudinum","<1%",0
"2021-04-08","CB-0",0,"sav","Halodule wrightii","51-75%",4
"2021-04-08","CB-0",0,"sav","Syringodium filiforme","<1%",0
"2021-04-08","CB-0",0,"sav","Ruppia maritima","<1%",0
"2021-04-08","CB-0",0,"sav","Halophila engelmannii","<1%",0
"2021-04-08","CB-0",0,"sav","Halophila decipiens","<1%",0
"2021-04-08","CB-0",10,"mcr","Red","<1%",0
"2021-04-08","CB-0",10,"mcr","Green","<1%",0
"2021-04-08","CB-0",10,"mcr","Brown","<1%",0
"2021-04-08","CB-0",10,"mcr","Cyanobacteria","<1%",0
"2021-04-08","CB-0",10,"sav","Thalassia testudinum","<1%",0
"2021-04-08","CB-0",10,"sav","Halodule wrightii","76-100%",5
"2021-04-08","CB-0",10,"sav","Syringodium filiforme","<1%",0
"2021-04-08","CB-0",10,"sav","Ruppia maritima","<1%",0
"2021-04-08","CB-0",10,"sav","Halophila engelmannii","<1%",0
"2021-04-08","CB-0",10,"sav","Halophila decipiens","<1%",0
"2021-04-08","CB-0",20,"mcr","Red","<1%",0
"2021-04-08","CB-0",20,"mcr","Green","<1%",0
"2021-04-08","CB-0",20,"mcr","Brown","<1%",0
"2021-04-08","CB-0",20,"mcr","Cyanobacteria","<1%",0
"2021-04-08","CB-0",20,"sav","Thalassia testudinum","<1%",0
"2021-04-08","CB-0",20,"sav","Halodule wrightii","76-100%",5
"2021-04-08","CB-0",20,"sav","Syringodium filiforme","<1%",0
"2021-04-08","CB-0",20,"sav","Ruppia maritima","<1%",0
"2021-04-08","CB-0",20,"sav","Halophila engelmannii","<1%",0
"2021-04-08","CB-0",20,"sav","Halophila decipiens","<1%",0
"2021-04-08","CB-0",30,"mcr","Red","<1%",0
"2021-04-08","CB-0",30,"mcr","Green","<1%",0
"2021-04-08","CB-0",30,"mcr","Brown","<1%",0
"2021-04-08","CB-0",30,"mcr","Cyanobacteria","<1%",0
"2021-04-08","CB-0",30,"sav","Thalassia testudinum","<1%",0
"2021-04-08","CB-0",30,"sav","Halodule wrightii","76-100%",5
"2021-04-08","CB-0",30,"sav","Syringodium filiforme","<1%",0
"2021-04-08","CB-0",30,"sav","Ruppia maritima","<1%",0
"2021-04-08","CB-0",30,"sav","Halophila engelmannii","<1%",0
"2021-04-08","CB-0",30,"sav","Halophila decipiens","<1%",0
"2021-04-08","CB-0",40,"mcr","Red","<1%",0
"2021-04-08","CB-0",40,"mcr","Green","<1%",0
"2021-04-08","CB-0",40,"mcr","Brown","<1%",0
"2021-04-08","CB-0",40,"mcr","Cyanobacteria","<1%",0
"2021-04-08","CB-0",40,"sav","Thalassia testudinum","<1%",0
"2021-04-08","CB-0",40,"sav","Halodule wrightii","26-50%",3
"2021-04-08","CB-0",40,"sav","Syringodium filiforme","<1%",0
"2021-04-08","CB-0",40,"sav","Ruppia maritima","<1%",0
"2021-04-08","CB-0",40,"sav","Halophila engelmannii","<1%",0
"2021-04-08","CB-0",40,"sav","Halophila decipiens","<1%",0
"2021-04-08","CB-0",50,"mcr","Red","<1%",0
"2021-04-08","CB-0",50,"mcr","Green","<1%",0
"2021-04-08","CB-0",50,"mcr","Brown","<1%",0
"2021-04-08","CB-0",50,"mcr","Cyanobacteria","<1%",0
"2021-04-08","CB-0",50,"sav","Thalassia testudinum","<1%",0
"2021-04-08","CB-0",50,"sav","Halodule wrightii","76-100%",5
"2021-04-08","CB-0",50,"sav","Syringodium filiforme","<1%",0
"2021-04-08","CB-0",50,"sav","Ruppia maritima","<1%",0
"2021-04-08","CB-0",50,"sav","Halophila engelmannii","<1%",0
"2021-04-08","CB-0",50,"sav","Halophila decipiens","<1%",0
"2021-04-08","CB-18",0,"mcr","Red","6-25%",2
"2021-04-08","CB-18",0,"mcr","Green","<1%",0
"2021-04-08","CB-18",0,"mcr","Brown","<1%",0
"2021-04-08","CB-18",0,"mcr","Cyanobacteria","<1%",0
"2021-04-08","CB-18",0,"sav","Thalassia testudinum","6-25%",2
"2021-04-08","CB-18",0,"sav","Halodule wrightii","<1%",0
"2021-04-08","CB-18",0,"sav","Syringodium filiforme","<1%",0
"2021-04-08","CB-18",0,"sav","Ruppia maritima","<1%",0
"2021-04-08","CB-18",0,"sav","Halophila engelmannii","<1%",0
"2021-04-08","CB-18",0,"sav","Halophila decipiens","<1%",0
"2021-04-08","CB-18",10,"mcr","Red","1-5%",1
"2021-04-08","CB-18",10,"mcr","Green","<1%",0
"2021-04-08","CB-18",10,"mcr","Brown","<1%",0
"2021-04-08","CB-18",10,"mcr","Cyanobacteria","<1%",0
"2021-04-08","CB-18",10,"sav","Thalassia testudinum","<1%",0
"2021-04-08","CB-18",10,"sav","Halodule wrightii","6-25%",2
"2021-04-08","CB-18",10,"sav","Syringodium filiforme","<1%",0
"2021-04-08","CB-18",10,"sav","Ruppia maritima","<1%",0
"2021-04-08","CB-18",10,"sav","Halophila engelmannii","<1%",0
"2021-04-08","CB-18",10,"sav","Halophila decipiens","<1%",0
"2021-04-08","CB-18",20,"mcr","Red","51-75%",4
"2021-04-08","CB-18",20,"mcr","Green","<1%",0
"2021-04-08","CB-18",20,"mcr","Brown","<1%",0
"2021-04-08","CB-18",20,"mcr","Cyanobacteria","<1%",0
"2021-04-08","CB-18",20,"sav","Thalassia testudinum","26-50%",3
"2021-04-08","CB-18",20,"sav","Halodule wrightii","<1%",0
"2021-04-08","CB-18",20,"sav","Syringodium filiforme","<1%",0
"2021-04-08","CB-18",20,"sav","Ruppia maritima","<1%",0
"2021-04-08","CB-18",20,"sav","Halophila engelmannii","<1%",0
"2021-04-08","CB-18",20,"sav","Halophila decipiens","<1%",0
"2021-04-08","CB-18",30,"mcr","Red","51-75%",4
"2021-04-08","CB-18",30,"mcr","Green","<1%",0
"2021-04-08","CB-18",30,"mcr","Brown","<1%",0
"2021-04-08","CB-18",30,"mcr","Cyanobacteria","<1%",0
"2021-04-08","CB-18",30,"sav","Thalassia testudinum","6-25%",2
"2021-04-08","CB-18",30,"sav","Halodule wrightii","<1%",0
"2021-04-08","CB-18",30,"sav","Syringodium filiforme","<1%",0
"2021-04-08","CB-18",30,"sav","Ruppia maritima","<1%",0
"2021-04-08","CB-18",30,"sav","Halophila engelmannii","<1%",0
"2021-04-08","CB-18",30,"sav","Halophila decipiens","<1%",0
"2021-04-08","CB-18",40,"mcr","Red","51-75%",4
"2021-04-08","CB-18",40,"mcr","Green","<1%",0
"2021-04-08","CB-18",40,"mcr","Brown","<1%",0
"2021-04-08","CB-18",40,"mcr","Cyanobacteria","<1%",0
"2021-04-08","CB-18",40,"sav","Thalassia testudinum","1-5%",1
"2021-04-08","CB-18",40,"sav","Halodule wrightii","<1%",0
"2021-04-08","CB-18",40,"sav","Syringodium filiforme","<1%",0
"2021-04-08","CB-18",40,"sav","Ruppia maritima","<1%",0
"2021-04-08","CB-18",40,"sav","Halophila engelmannii","<1%",0
"2021-04-08","CB-18",40,"sav","Halophila decipiens","<1%",0
"2021-04-08","CB-18",50,"mcr","Red","26-50%",3
"2021-04-08","CB-18",50,"mcr","Green","<1%",0
"2021-04-08","CB-18",50,"mcr","Brown","<1%",0
"2021-04-08","CB-18",50,"mcr","Cyanobacteria","<1%",0
"2021-04-08","CB-18",50,"sav","Thalassia testudinum","26-50%",3
"2021-04-08","CB-18",50,"sav","Halodule wrightii","6-25%",2
"2021-04-08","CB-18",50,"sav","Syringodium filiforme","<1%",0
"2021-04-08","CB-18",50,"sav","Ruppia maritima","<1%",0
"2021-04-08","CB-18",50,"sav","Halophila engelmannii","<1%",0
"2021-04-08","CB-18",50,"sav","Halophila decipiens","<1%",0
"2021-04-08","CB-2",0,"mcr","Red","76-100%",5
"2021-04-08","CB-2",0,"mcr","Green","<1%",0
"2021-04-08","CB-2",0,"mcr","Brown","<1%",0
"2021-04-08","CB-2",0,"mcr","Cyanobacteria","<1%",0
"2021-04-08","CB-2",0,"sav","Thalassia testudinum","1-5%",1
"2021-04-08","CB-2",0,"sav","Halodule wrightii","6-25%",2
"2021-04-08","CB-2",0,"sav","Syringodium filiforme","<1%",0
"2021-04-08","CB-2",0,"sav","Ruppia maritima","<1%",0
"2021-04-08","CB-2",0,"sav","Halophila engelmannii","<1%",0
"2021-04-08","CB-2",0,"sav","Halophila decipiens","<1%",0
"2021-04-08","CB-2",10,"mcr","Red","76-100%",5
"2021-04-08","CB-2",10,"mcr","Green","<1%",0
"2021-04-08","CB-2",10,"mcr","Brown","<1%",0
"2021-04-08","CB-2",10,"mcr","Cyanobacteria","<1%",0
"2021-04-08","CB-2",10,"sav","Thalassia testudinum","1-5%",1
"2021-04-08","CB-2",10,"sav","Halodule wrightii","6-25%",2
"2021-04-08","CB-2",10,"sav","Syringodium filiforme","<1%",0
"2021-04-08","CB-2",10,"sav","Ruppia maritima","<1%",0
"2021-04-08","CB-2",10,"sav","Halophila engelmannii","<1%",0
"2021-04-08","CB-2",10,"sav","Halophila decipiens","<1%",0
"2021-04-08","CB-2",20,"mcr","Red","76-100%",5
"2021-04-08","CB-2",20,"mcr","Green","<1%",0
"2021-04-08","CB-2",20,"mcr","Brown","<1%",0
"2021-04-08","CB-2",20,"mcr","Cyanobacteria","<1%",0
"2021-04-08","CB-2",20,"sav","Thalassia testudinum","1-5%",1
"2021-04-08","CB-2",20,"sav","Halodule wrightii","6-25%",2
"2021-04-08","CB-2",20,"sav","Syringodium filiforme","<1%",0
"2021-04-08","CB-2",20,"sav","Ruppia maritima","<1%",0
"2021-04-08","CB-2",20,"sav","Halophila engelmannii","<1%",0
"2021-04-08","CB-2",20,"sav","Halophila decipiens","<1%",0
"2021-04-08","CB-2",30,"mcr","Red","26-50%",3
"2021-04-08","CB-2",30,"mcr","Green","<1%",0
"2021-04-08","CB-2",30,"mcr","Brown","<1%",0
"2021-04-08","CB-2",30,"mcr","Cyanobacteria","<1%",0
"2021-04-08","CB-2",30,"sav","Thalassia testudinum","1-5%",1
"2021-04-08","CB-2",30,"sav","Halodule wrightii","6-25%",2
"2021-04-08","CB-2",30,"sav","Syringodium filiforme","<1%",0
"2021-04-08","CB-2",30,"sav","Ruppia maritima","<1%",0
"2021-04-08","CB-2",30,"sav","Halophila engelmannii","<1%",0
"2021-04-08","CB-2",30,"sav","Halophila decipiens","<1%",0
"2021-04-08","CB-2",40,"mcr","Red","51-75%",4
"2021-04-08","CB-2",40,"mcr","Green","<1%",0
"2021-04-08","CB-2",40,"mcr","Brown","<1%",0
"2021-04-08","CB-2",40,"mcr","Cyanobacteria","<1%",0
"2021-04-08","CB-2",40,"sav","Thalassia testudinum","6-25%",2
"2021-04-08","CB-2",40,"sav","Halodule wrightii","<1%",0
"2021-04-08","CB-2",40,"sav","Syringodium filiforme","<1%",0
"2021-04-08","CB-2",40,"sav","Ruppia maritima","<1%",0
"2021-04-08","CB-2",40,"sav","Halophila engelmannii","<1%",0
"2021-04-08","CB-2",40,"sav","Halophila decipiens","<1%",0
"2021-04-08","CB-2",50,"mcr","Red","51-75%",4
"2021-04-08","CB-2",50,"mcr","Green","<1%",0
"2021-04-08","CB-2",50,"mcr","Brown","<1%",0
"2021-04-08","CB-2",50,"mcr","Cyanobacteria","<1%",0
"2021-04-08","CB-2",50,"sav","Thalassia testudinum","6-25%",2
"2021-04-08","CB-2",50,"sav","Halodule wrightii","1-5%",1
"2021-04-08","CB-2",50,"sav","Syringodium filiforme","<1%",0
"2021-04-08","CB-2",50,"sav","Ruppia maritima","<1%",0
"2021-04-08","CB-2",50,"sav","Halophila engelmannii","<1%",0
"2021-04-08","CB-2",50,"sav","Halophila decipiens","<1%",0
"2021-04-08","JB-1",0,"mcr","Red","76-100%",5
"2021-04-08","JB-1",0,"mcr","Green","<1%",0
"2021-04-08","JB-1",0,"mcr","Brown","<1%",0
"2021-04-08","JB-1",0,"mcr","Cyanobacteria","<1%",0
"2021-04-08","JB-1",0,"sav","Thalassia testudinum","<1%",0
"2021-04-08","JB-1",0,"sav","Halodule wrightii","6-25%",2
"2021-04-08","JB-1",0,"sav","Syringodium filiforme","<1%",0
"2021-04-08","JB-1",0,"sav","Ruppia maritima","<1%",0
"2021-04-08","JB-1",0,"sav","Halophila engelmannii","<1%",0
"2021-04-08","JB-1",0,"sav","Halophila decipiens","<1%",0
"2021-04-08","JB-1",10,"mcr","Red","76-100%",5
"2021-04-08","JB-1",10,"mcr","Green","<1%",0
"2021-04-08","JB-1",10,"mcr","Brown","<1%",0
"2021-04-08","JB-1",10,"mcr","Cyanobacteria","<1%",0
"2021-04-08","JB-1",10,"sav","Thalassia testudinum","<1%",0
"2021-04-08","JB-1",10,"sav","Halodule wrightii","51-75%",4
"2021-04-08","JB-1",10,"sav","Syringodium filiforme","<1%",0
"2021-04-08","JB-1",10,"sav","Ruppia maritima","<1%",0
"2021-04-08","JB-1",10,"sav","Halophila engelmannii","<1%",0
"2021-04-08","JB-1",10,"sav","Halophila decipiens","<1%",0
"2021-04-08","JB-1",20,"mcr","Red","6-25%",2
"2021-04-08","JB-1",20,"mcr","Green","<1%",0
"2021-04-08","JB-1",20,"mcr","Brown","<1%",0
"2021-04-08","JB-1",20,"mcr","Cyanobacteria","<1%",0
"2021-04-08","JB-1",20,"sav","Thalassia testudinum","<1%",0
"2021-04-08","JB-1",20,"sav","Halodule wrightii","6-25%",2
"2021-04-08","JB-1",20,"sav","Syringodium filiforme","<1%",0
"2021-04-08","JB-1",20,"sav","Ruppia maritima","<1%",0
"2021-04-08","JB-1",20,"sav","Halophila engelmannii","<1%",0
"2021-04-08","JB-1",20,"sav","Halophila decipiens","<1%",0
"2021-04-08","JB-1",30,"mcr","Red","6-25%",2
"2021-04-08","JB-1",30,"mcr","Green","<1%",0
"2021-04-08","JB-1",30,"mcr","Brown","<1%",0
"2021-04-08","JB-1",30,"mcr","Cyanobacteria","<1%",0
"2021-04-08","JB-1",30,"sav","Thalassia testudinum","<1%",0
"2021-04-08","JB-1",30,"sav","Halodule wrightii","1-5%",1
"2021-04-08","JB-1",30,"sav","Syringodium filiforme","<1%",0
"2021-04-08","JB-1",30,"sav","Ruppia maritima","<1%",0
"2021-04-08","JB-1",30,"sav","Halophila engelmannii","<1%",0
"2021-04-08","JB-1",30,"sav","Halophila decipiens","<1%",0
"2021-04-08","JB-1",40,"mcr","Red","76-100%",5
"2021-04-08","JB-1",40,"mcr","Green","<1%",0
"2021-04-08","JB-1",40,"mcr","Brown","<1%",0
"2021-04-08","JB-1",40,"mcr","Cyanobacteria","<1%",0
"2021-04-08","JB-1",40,"sav","Thalassia testudinum","1-5%",1
"2021-04-08","JB-1",40,"sav","Halodule wrightii","51-75%",4
"2021-04-08","JB-1",40,"sav","Syringodium filiforme","<1%",0
"2021-04-08","JB-1",40,"sav","Ruppia maritima","<1%",0
"2021-04-08","JB-1",40,"sav","Halophila engelmannii","<1%",0
"2021-04-08","JB-1",40,"sav","Halophila decipiens","<1%",0
"2021-04-08","JB-1",50,"mcr","Red","6-25%",2
"2021-04-08","JB-1",50,"mcr","Green","<1%",0
"2021-04-08","JB-1",50,"mcr","Brown","<1%",0
"2021-04-08","JB-1",50,"mcr","Cyanobacteria","<1%",0
"2021-04-08","JB-1",50,"sav","Thalassia testudinum","1-5%",1
"2021-04-08","JB-1",50,"sav","Halodule wrightii","<1%",0
"2021-04-08","JB-1",50,"sav","Syringodium filiforme","<1%",0
"2021-04-08","JB-1",50,"sav","Ruppia maritima","<1%",0
"2021-04-08","JB-1",50,"sav","Halophila engelmannii","<1%",0
"2021-04-08","JB-1",50,"sav","Halophila decipiens","<1%",0
"2021-04-08","JB-2",0,"mcr","Red","1-5%",1
"2021-04-08","JB-2",0,"mcr","Red","6-25%",2
"2021-04-08","JB-2",0,"mcr","Green","<1%",0
"2021-04-08","JB-2",0,"mcr","Brown","<1%",0
"2021-04-08","JB-2",0,"mcr","Cyanobacteria","<1%",0
"2021-04-08","JB-2",0,"sav","Thalassia testudinum","6-25%",2
"2021-04-08","JB-2",0,"sav","Halodule wrightii","51-75%",4
"2021-04-08","JB-2",0,"sav","Syringodium filiforme","<1%",0
"2021-04-08","JB-2",0,"sav","Ruppia maritima","<1%",0
"2021-04-08","JB-2",0,"sav","Halophila engelmannii","<1%",0
"2021-04-08","JB-2",0,"sav","Halophila decipiens","<1%",0
"2021-04-08","JB-2",10,"mcr","Red","6-25%",2
"2021-04-08","JB-2",10,"mcr","Green","<1%",0
"2021-04-08","JB-2",10,"mcr","Brown","<1%",0
"2021-04-08","JB-2",10,"mcr","Cyanobacteria","<1%",0
"2021-04-08","JB-2",10,"sav","Thalassia testudinum","51-75%",4
"2021-04-08","JB-2",10,"sav","Halodule wrightii","<1%",0
"2021-04-08","JB-2",10,"sav","Syringodium filiforme","<1%",0
"2021-04-08","JB-2",10,"sav","Ruppia maritima","<1%",0
"2021-04-08","JB-2",10,"sav","Halophila engelmannii","<1%",0
"2021-04-08","JB-2",10,"sav","Halophila decipiens","<1%",0
"2021-04-08","JB-2",20,"mcr","Red","76-100%",5
"2021-04-08","JB-2",20,"mcr","Green","<1%",0
"2021-04-08","JB-2",20,"mcr","Brown","<1%",0
"2021-04-08","JB-2",20,"mcr","Cyanobacteria","<1%",0
"2021-04-08","JB-2",20,"sav","Thalassia testudinum","76-100%",5
"2021-04-08","JB-2",20,"sav","Halodule wrightii","<1%",0
"2021-04-08","JB-2",20,"sav","Syringodium filiforme","<1%",0
"2021-04-08","JB-2",20,"sav","Ruppia maritima","<1%",0
"2021-04-08","JB-2",20,"sav","Halophila engelmannii","<1%",0
"2021-04-08","JB-2",20,"sav","Halophila decipiens","<1%",0
"2021-04-08","JB-2",30,"mcr","Red","76-100%",5
"2021-04-08","JB-2",30,"mcr","Green","<1%",0
"2021-04-08","JB-2",30,"mcr","Brown","<1%",0
"2021-04-08","JB-2",30,"mcr","Cyanobacteria","<1%",0
"2021-04-08","JB-2",30,"sav","Thalassia testudinum","26-50%",3
"2021-04-08","JB-2",30,"sav","Halodule wrightii","<1%",0
"2021-04-08","JB-2",30,"sav","Syringodium filiforme","6-25%",2
"2021-04-08","JB-2",30,"sav","Ruppia maritima","<1%",0
"2021-04-08","JB-2",30,"sav","Halophila engelmannii","<1%",0
"2021-04-08","JB-2",30,"sav","Halophila decipiens","<1%",0
"2021-04-08","JB-2",40,"mcr","Red","76-100%",5
"2021-04-08","JB-2",40,"mcr","Green","<1%",0
"2021-04-08","JB-2",40,"mcr","Brown","<1%",0
"2021-04-08","JB-2",40,"mcr","Cyanobacteria","<1%",0
"2021-04-08","JB-2",40,"sav","Thalassia testudinum","<1%",0
"2021-04-08","JB-2",40,"sav","Halodule wrightii","<1%",0
"2021-04-08","JB-2",40,"sav","Syringodium filiforme","76-100%",5
"2021-04-08","JB-2",40,"sav","Ruppia maritima","<1%",0
"2021-04-08","JB-2",40,"sav","Halophila engelmannii","<1%",0
"2021-04-08","JB-2",40,"sav","Halophila decipiens","<1%",0
"2021-04-08","JB-2",50,"mcr","Red","76-100%",5
"2021-04-08","JB-2",50,"mcr","Green","<1%",0
"2021-04-08","JB-2",50,"mcr","Brown","<1%",0
"2021-04-08","JB-2",50,"mcr","Cyanobacteria","<1%",0
