"station","lng","lat"
"Davis isl, West of",-82.4645,27.9217
"Courtney Campbell Causeway, boat ramp",-82.6008,27.9743
"HCEPC Station Number 49",-82.5595,27.9663
"HCEPC Station Number 48",-82.6188,27.9718
"HCEPC Station Number 50",-82.536,27.9178
"HCEPC Station Number 47",-82.6188,27.97
"HCEPC Station Number 46",-82.6548,27.987
"HCEPC Station Number 51",-82.5442,27.8883
"Safety Harbor",-82.6752,28.0169
"Little Bayou, 0.25 mi E",-82.6261,27.7197
"Howard Franklin Bridge, 0.25 mi North",-82.5866,27.932
"Tampa Bay ship channel, West of split",-82.548,27.7874
"HCEPC Station Number 53",-82.4439,27.8463
"Tampa Bay ship channel, East of split",-82.4825,27.7981
"HCEPC Station Number 54",-82.4262,27.9265
"Mac Dill, 2 mi S",-82.5147,27.796
"Bayboro Harbor and Big Bayou, halfway between",-82.6279,27.7511
"HCEPC Station Number 55",-82.4345,27.8515
"Courtney Campbell Causeway, 0.5 mi North of East side",-82.6204,27.9797
"Smack''s Bayou, Pinellas, 0.5 mi East",-82.5977,27.7991
"Gandy Bridge, 0.25 mi North of East side",-82.5432,27.8947
"HCEPC Station Number 56",-82.5276,27.686
"Piney Point",-82.5595,27.6428
"Coffee Pot Bayou",-82.6162,27.7891
"Bayboro Harbor and Big Bayou, between, 0.25 mi East",-82.6256,27.7513
"Smack''s Bayou, Pinellas, Entrance",-82.607,27.7992
"Little Bayou, 0.5 mi E",-82.6213,27.7195
"Bayboro Harbor and Big Bayou, between, 1 mi East",-82.6118,27.7511
"Mac Dill, 1 mi S",-82.514,27.8124
"Safety Harbor, North",-82.6781,28.0313
"Bayou Grande, Pinellas, entrance",-82.5929,27.8248
"Coffee Pot, 1 mi East",-82.5975,27.7894
"Bayboro Harbor, 1 mi East",-82.6089,27.7591
"Bayou Grande, Pinellas, 0.25 mi East",-82.5882,27.8249
"Mac Dill, 2 mi SW",-82.5405,27.8061
"Smack''s Bayou, Pinellas",-82.6101,27.8058
"Bayou Grande and Smack''s Bayou, Pinellas, between",-82.5968,27.8108
"Mac Dill, 3 mi SW",-82.5539,27.7495
"Safety Harbor, Philippe Park",-82.6759,28.0095
"Hillsborough Bay, mouth, mid-channel",-82.4486,27.812
"Gandy Bridge, Pinellas County side",-82.5948,27.8773
"Boca Ciega Bay",-82.713,27.7272
"Mac Dill, 3 mi S",-82.5143,27.7791
"Bayboro Harbor, 0.5 mi East",-82.6181,27.7591
"Lassing Park, 0.5 mi E",-82.6208,27.7542
"Howard Franklin Bridge, main span",-82.5866,27.9284
"Howard Franklin Bridge, North of",-82.5867,27.9301
"Courtney Campbell Causeway, bridge 1 from Pinellas side",-82.6783,27.9637
"Gandy Channel",-82.5933,27.8752
"Tampa Bay, CH buoy 2K",-82.5695,27.8255
"Tampa Bay, CH buoy 5F and 6F",-82.5238,27.7751
"Madeira Beach Causeway",-82.795,27.8073
"Tampa Bay, CH buoy 5D and 6D",-82.5354,27.7235
"Blind Pass, bridge",-82.7609,27.7559
"Tampa Bay, near CH buoy 1B",-82.6225,27.6376
"Bayou Grande, Pinellas, 0.5 mi East",-82.5835,27.8248
"Courtney Campbell Causeway, South of main span",-82.6249,27.9683
"Courtney Campbell Causeway, 2 mi. from West side",-82.6645,27.9664
"Gandy Bridge, NE of Main span",-82.5655,27.8854
"Tampa Bay, CH mkr 3K",-82.5665,27.8356
"Gandy Bridge, center",-82.567,27.8836
"Bayou Grande, Pinellas, halfway in",-82.604,27.832
"Skyway Bridge, center span",-82.6564,27.6199
"HCEPC Station Number 21",-82.5507,27.6677
"HCEPC Station Number 70",-82.4577,27.9043
"HCEPC Station Number 92",-82.6867,27.575
"HCEPC Station Number 11",-82.4838,27.8077
"HCEPC Station Number 95",-82.6903,27.605
"HCEPC Station Number 96",-82.6883,27.6383
"HCEPC Station Number 62",-82.5703,27.9693
"HCEPC Station Number 82",-82.57,27.7505
"HCEPC Station Number 68",-82.5842,27.8553
"HCEPC Station Number 66",-82.6357,27.9228
"HCEPC Station Number 91",-82.6373,27.6217
"HCEPC Station Number 71",-82.4167,27.8795
"HCEPC Station Number 84",-82.502,27.7383
"HCEPC Station Number 74",-82.3845,27.8587
"HCEPC Station Number 80",-82.4428,27.8063
"HCEPC Station Number 93",-82.7403,27.5747
"HCEPC Station Number 64",-82.6737,27.9712
"HCEPC Station Number 81",-82.4535,27.7692
"HCEPC Station Number 63",-82.5797,27.968
"HCEPC Station Number 90",-82.5903,27.6207
"HCEPC Station Number 32",-82.5692,27.789
"HCEPC Station Number 65",-82.6897,27.9392
"HCEPC Station Number 60",-82.6335,27.9863
"HCEPC Station Number 67",-82.5922,27.9003
"HCEPC Station Number 73",-82.4128,27.8255
"Johns Pass, mkr 1, ICW",-82.7687,27.7945
"Treasure Island, 6th Street Canal",-82.7696,27.7848
"Coquina Key",-82.6235,27.7311
"Pinellas Point, off",-82.6403,27.7022
"Mullet Key",-82.7135,27.6212
"Bunces Pass",-82.7163,27.6506
"Howard Franklin Bridge, Hillsborough side",-82.5646,27.9354
"Howard Franklin Bridge, Pinellas County side",-82.6091,27.9193
"Bullfrog Creek",-82.3941,27.8368
"Howard Frankland Bridge, Hillsborough side",-82.6206,27.9354
"St. Pete-Clearwater Airport",-82.6844,27.9175
"Bayboro Harbor, mouth",-82.6276,27.7592
"Mullet Key, Bayou",-82.7268,27.6319
"Pass-A-Grille, 1999 site",-82.7373,27.6822
"Anna Maria isl, North end",-82.7427,27.5394
"Bean Point",-82.7449,27.5389
"Anna Maria isl, city pier",-82.7321,27.5335
"Johns Pass, inshore",-82.7796,27.7858
"Egmont Key, inshore",-82.7563,27.5887
"Maximo Point",-82.6797,27.6939
"Coquina Key area, Little Bayou",-82.5337,27.7212
"Pass-A-Grille channel",-82.7346,27.6867
"Terra Ceia Bay, NW side of bridge",-82.5792,27.5667
"Skyway Bridge, South",-82.6313,27.5932
"Mullet Key, bay pier",-82.7255,27.6155
"Gandy Bridge, SW of First Bridge from Pinellas side",-82.6128,27.8689
"Skyway Bridge, 2nd fixed bridge",-82.6774,27.6616
"Snead Point",-82.6209,27.5225
"Pinellas Point Drive and 70th Avenue South",-82.6666,27.7031
"Terra Ceia Bay Head",-82.5645,27.5704
"Pinellas Point, Bay Vista",-82.6418,27.7027
"Mullet Key, East Beach",-82.7034,27.626
"Skyway Channel, 0.5 mi East of bridge",-82.6478,27.6201
"Skyway Bridge, 1 mi West",-82.6726,27.6203
"Pinellas Bayway, toll gate",-82.7187,27.6533
"Passage Key",-82.739,27.5534
"The Narrows, dock off Imperial Point Drive",-82.8476,27.8671
"Pinellas beaches, ICW, off 136 St and 74 Ave",-82.826,27.8383
"Skyway Bridge, 0.5 mi North of South end",-82.6371,27.5982
"Port Manatee Channel",-82.5828,27.6471
"Pinellas Point, 2 mi. SSE of red buoy",-82.6168,27.6838
"Passage Key, shipping channel",-82.7509,27.5672
"Skyway Channel, 2 mi West",-82.6893,27.6199
"Pinellas Point, 3 mi. SE",-82.6755,27.6713
"Egmont Channel, buoy 2A",-82.6665,27.6149
"Egmont Channel, buoy 4A",-82.6417,27.6262
"Egmont Key, East",-82.7012,27.5681
"Anna Maria isl, East side",-82.7042,27.4986
"Anna Maria Island",-82.7367,27.5362
"Pinellas Point, R-6",-82.6396,27.7046
"Egmont Channel, 0.5 mi SE, inside",-82.7549,27.5844
"Mullet Key, Channel",-82.7389,27.603
"Tampa Bay, mouth",-82.75,27.55
"HCEPC Station Number 61",-82.5562,27.9677
"HCEPC Station Number 58",-82.4168,27.9367
"SERF pump station",-82.5587,27.6391
"Emerson Point, Snook Bayou",-82.643,27.5339
"12/31/93",-82.4535,27.7692
"Tampa Bay samples",-82.552,27.7855
"Tampa Bay samples",-82.6055,27.7598
"Tampa Bay samples",-82.6081,27.7066
"Tampa Bay",-82.5792,27.7854
"Mullet Key, Channel",-82.7388,27.603
"Bay Pines, Pinellas County",-82.7638,27.8127
"Venice pier",-82.6212,27.7597
"Redington",-82.8148,27.8215
"Mullet Key",-82.7258,27.6152
"Mouth of Tampa Bay",-82.6283,27.7607
"Mouth of Tampa Bay",-82.6296,27.6543
"Mouth of Tampa Bay",-82.664,27.6074
"Shore Acres, Overlook Drive Condominiums",-82.6044,27.8027
"Mullet Key, 1999 site",-82.7245,27.6148
"Skyway, North, 1999 site",-82.6777,27.6452
"Coquina Key Arms North, 221-A Big Bayou",-82.6333,27.7411
"Coquina Key Arms South, canal",-82.6279,27.7233
"Bishop Harbor",-82.5545,27.6038
"Fort DeSoto, 1999 site",-82.6885,27.612
"Johns Pass, 1999 site",-82.782,27.7835
"Tampa Bay, off",-82.6283,27.76
"Tampa Bay, off",-82.6309,27.6521
"Tampa Bay, off",-82.6865,27.6168
"Sunlight Cove",-82.6366,27.8524
"Johns Pass at Parasail Center",-82.7818,27.7849
"President''s House",-82.7847,27.7966
"Redington Pier",-82.8232,27.8219
"Lower Tampa Bay, mkr 63, DOACS Station 50",-82.7033,27.5301
"School Key, Lower Tampa Bay",-82.7033,27.5301
"Tampa Bay, off",-82.6125,27.7698
"Tampa Bay, off",-82.6072,27.6023
"St. Petersburg, TI site 2",-82.7683,27.7734
"St. Petersburg, Coquina Key",-82.6293,27.7391
"Sawyer Key, 1.73 miles N of",-82.6198,27.6296
"RT07, Skyway Channel",-82.6552,27.6176
"RT09, Indian Key",-82.6843,27.6938
"RT10, Tarpon Key",-82.6892,27.6591
"Skyway Fishing Pier, North",-82.6656,27.6325
"Skyway Fishing Pier, South",-82.6497,27.6049
"Pass-A-Grille",-82.7373,27.6822
"Skyway Fishing Pier, South",-82.6507,27.6055
"Skyway Fishing Pier, South",-82.6508,27.6055
"Tampa Bay between Egmont Key and Skyway Bridge",-82.6993,27.6061
"Tampa Bay south of ship channel at Skyway Bridge",-82.6412,27.6187
"Tampa Bay off Port Manatee and ship channel",-82.5874,27.6574
"Tampa Bay west of Big Bend power plant",-82.4856,27.7875
"Tampa Bay at mouth of Old Tampa Bay",-82.5696,27.845
"Tampa Bay east of St. Pete",-82.5895,27.7758
"Old Tampa Bay, Courtney Campbell boat ramp",-82.6113,27.9725
"Old Tampa Bay, Safety Harbor boat ramp",-82.6853,27.9887
"Isla del Sol",-82.7067,27.7152
"Bunces Pass",-82.7362,27.6833
"Pasadena Yacht and Country Club",-82.7067,27.715
"Vinoy Basin",-82.6174,27.7757
"Bayboro Harbor, FMRI seawall",-82.6337,27.7607
"BH01",-82.5748,27.6135
"BH02",-82.57882,27.62032
"BH03",-82.61775,27.61335
"BH04",-82.6898,27.5761
"Mullet Key, bay pier",-82.7256,27.6153
"Bishop Harbor 1",-82.55087,27.60665
"Bishop Harbor 2",-82.5619,27.6075
"Bishop Harbor 3",-82.5708,27.6083
"Pass-A-Grille at Merry Pier",-82.73576,27.68792
"Bishop Harbor 1",-82.5509,27.6066
"Bishop Harbor 4",-82.5779,27.6131
"Tampa Bay",-82.61491,27.77238
"Tampa Bay",-82.5931,27.76415
"Bunces Pass",-82.7161,27.6506
"Tampa Bay, Tarpon Key",-82.6899,27.6606
"MT0401-00 mouth of Bunces Pass",-82.7407,27.6489
"Tampa Bay, Sta 5 just south of Tarpon Key",-82.691,27.6606
"Pinellas Point",-82.6403,27.7022
"Bishop Harbor, Site 1",-82.5512,27.6071
"Bishop Harbor 2 Ulva water",-82.55753,27.60715
"Bishop Harbor, Site 2",-82.5575,27.6072
"Bishop Harbor, Site 3",-82.5669,27.6075
"Bishop Harbor 3 Ulva water",-82.5669,27.6075
"Tampa Bay",-82.678,27.61305
"Tampa Bay",-82.6611,27.623
"Tampa Bay",-82.66117,27.62298
"Tampa Bay",-82.6265,27.63422
"Tampa Bay",-82.58323,27.6133
"Tampa Bay",-82.57288,27.62113
"Tampa Bay",-82.5715,27.6398
"Tampa Bay",-82.59372,27.65217
"Little Cockroach Bay",-82.51537,27.69634
"Tampa Bay, TECO discharge canal",-82.40427,27.79258
"Tarpon Key",-82.6851,27.6662
"Skyway Fishing Pier, North northwest end",-82.6504,27.60442
"Skyway Fishing Pier, South southwest end",-82.6693,27.6381
"Skyway Fishing Pier, South northwest end",-82.634,27.5894
"Port Manatee Terminal",-82.5612,27.6338
"Port Manatee",-82.5828,27.6471
"Port Manatee",-82.562,27.6346
"Port Manatee",-82.5649,27.6323
"Port Manatee",-82.5651,27.6375
"Port Manatee",-82.5662,27.6352
"Tampa Bay, Indian Key",-82.6955,27.6997
"Anna Maria Island",-82.7065,27.5018
"Serf pump station A",-82.5587,27.6391
"Tampa Bay , offshore",-82.6258,27.6195
"Tampa Bay , offshore",-82.6241,27.6189
"West of Bayside Bridge",-82.71671,27.95
"Boca Ciega Bay, Madiera Beach Marina",-82.79782,27.81404
"Tampa Bay, Bayboro Harbor, FWRI dock, middle south side",-82.63367,27.7607
"Tampa Bay, N of Cockroach Bay",-82.5168,27.6981
"Tampa Bay Station 3 bottom",-82.60998,27.77293
"Bayboro Harbor, Dock",-82.63373,27.7607
"Tampa Bay Station 1 bottom",-82.62472,27.66443
"Tampa Bay Station 2 surface",-82.5864,27.68583
"Tampa Bay Station 2 bottom",-82.5864,27.68583
"Tampa Bay Station 1 surface",-82.62472,27.66443
"Tampa Bay Station 3 surface",-82.60998,27.77293
"Tampa Bay",-82.69893,27.6493
"Tampa Bay, just north of Cockroach Bay",-82.52197,27.6904
"Snell Island bridge",-82.62642,27.79233
"Spoil Island off Teco (Apollo Beach)",-82.44932,27.80842
"McKay Bay N of Causeway",-82.42922,27.93472
"Btw Howard Frankland and Gandy Bridge (Feather Sound)",-82.59958,27.90722
"S. of Gandy Bridge",-82.55297,27.88162
".",-82.7109,27.61048
".",-82.62755,27.63312
".",-82.59783,27.66418
".",-82.5287,27.73825
".",-82.51663,27.78897
"Tampa Bay, mouth of Little Manatee River",-82.48842,27.71652
"Ben T. Davis Beach in front of main shack",-82.57451,27.96853
"Tampa Bay shipping channel station 1 surface",-82.71482,27.60525
"Tampa Bay shipping channel station 1 bottom",-82.71482,27.60525
"Tampa Bay shipping channel station 2 bottom",-82.62637,27.63177
"Tampa Bay shipping channel station 2 surface",-82.62637,27.63177
"Tampa Bay shipping channel station 3 surface",-82.59988,27.66055
"Tampa Bay shipping channel station 3 bottom",-82.59988,27.66055
"Tampa Bay shipping channel station 4 surface",-82.55597,27.6928
"Tampa Bay shipping channel station 4 bottom",-82.55597,27.6928
"Tampa Bay shipping channel station 5 surface",-82.51558,27.78897
"Tampa Bay shipping channel station 5 bottom",-82.51558,27.78897
"Tampa Bay Shipping Channel Station 5 bottom",-82.51482,27.78917
"Tampa Bay Shipping Channel Station 1 bottom",-82.71323,27.60505
"Tampa Bay Shipping Channel Station 1 surface",-82.71323,27.60505
"Tampa Bay Shipping Channel Station 2 bottom",-82.6251,27.63228
"Tampa Bay Shipping Channel Station 2 surface",-82.6251,27.63228
"Tampa Bay Shipping Channel Station 3 bottom",-82.59763,27.6631
"Tampa Bay Shipping Channel Station 3 surface",-82.59763,27.6631
"Tampa Bay Shipping Channel Station 4 surface",-82.52745,27.73872
"Tampa Bay Shipping Channel Station 4 bottom",-82.52745,27.73872
"Tampa Bay Shipping Channel Station 5 surface",-82.51482,27.78917
"Tampa Bay Shipping Channel Station 6 surface",-82.63393,27.69452
"Passage Key",-82.7268,27.5592
"Near Skyway",-82.65392,27.6244
"Tampa Bay - Station 1",-82.71528,27.605
"Tampa Bay - Station 2",-82.62518,27.6323
"Tampa Bay - Station 3",-82.59883,27.66213
"Tampa Bay - Station 5",-82.53422,27.72323
"Terra Ceia Bay",-82.58322,27.55283
"3 mi off Mouth of Manatee River",-82.68528,27.54278
"1/2 mi off Miguel Bay, SW T-bay",-82.61877,27.58245
"Pt. Pinellas",-82.6442,27.69898
"Boca Ciega Bay",-82.70648,27.71822
"Mouth of Blind Pass",-82.73842,27.67727
"Blind Pass, Inside",-82.73127,27.69152
"1/2 mi E of Egmont Key",-82.72694,27.55886
"Bishop Harbor 4",-82.5775,27.6129
"Bishop Harbor 1",-82.5509,27.6067
"Bishop Harbor 2",-82.5622,27.6076
"E of Skyway N of shipping channel",-82.64918,27.64108
"S. of Mullet Key",-82.70257,27.61035
"SW of Port Manatee",-82.60098,27.6355
"S. of Port Manatee",-82.5789,27.63147
"S. of Little Manatee River",-82.53282,27.69818
"SW. of Port Manatee",-82.60098,27.6355
"Madeira Beach",-82.78261,27.79856
"Tampa Bay, 1.5 mi W of Cockroach Bay",-82.55997,27.6759
"Egmont Key, 7 mi E of",-82.65,27.5833
"Tampa Bay, Indian Key",-82.6833,27.7
"Boca Ciega Bay",-82.7167,27.7333
"Tampa Bay, 2 mi W of Port Manatee",-82.6,27.6333
"Bunces Pass",-82.7167,27.65
"Tampa Bay, 4.5 mi W of Port Manatee",-82.6333,27.6333
"Egmont Key, 5.5 mi E of",-82.6667,27.6
"Egmont Key, 3 mi E of",-82.7,27.5833
"Tampa Bay, 2 mi E of Big Bayou",-82.6,27.73333
"Mouth of Anna Maria Sound",-82.6974,27.5201
"Tampa Bay, School Key 0.3 mi east of",-82.70417,27.52518
"Tampa Bay, School Key .3 mi east of",-82.70417,27.52518
"Skyway, 1 mi NE of",-82.66667,27.63333
"2 mi S of Pinellas Point",-82.63333,27.66667
"1 mi SW of Indian Key",-82.7,27.68333
"1.5 mi SW of Cockroach Bay",-82.54625,27.67113
"Near mark 2 Manatee River Channel",-82.68255,27.54182
"SW of Port Manatee spoil Island",-82.57292,27.63098
"2 mi W of Cockroach Bay",-82.56047,27.68443
"2.5 mi SW of Cockroach Bay",-82.55203,27.66507
"3 mi E of Mainspan Skyway",-82.61882,27.6285
"Inside Pass-a-grille",-82.73333,27.73333
"Mouth of Lower Bay",-82.6833,27.5333
"South End of Skyway",-82.6,27.5667
"Shipping Channel across from Tropicana",-82.55,27.71667
"East of Bayboruo",-82.61667,27.75
"South of Ft. DeSoto Pier",-82.71615,27.60537
"East of Skyway",-82.62897,27.63083
"Tampa Bay, Conception Key mid sample",-82.69837,27.64152
"Boca Ciega Cut surface sample",-82.70367,27.7061
"Boca Ciega Cut bottom sample",-82.70367,27.7061
"Sunshine Skyway, north of, surface sample",-82.64168,27.66625
"Sunshine Skyway, north of, bottom sample",-82.64168,27.66625
"Mullet Key,  off East Beach, surface sample",-82.69085,27.63263
"Tropicana, 1 mi E, surface",-82.58333,27.71667
"Tropicana, 1 mi E, bottom",-82.58333,27.71667
"Skyway Bridge, 1 mi West, surface",-82.66667,27.56667
"Skyway Bridge, 1 mi West, bottom",-82.66667,27.56667
"Bishop Harbor 4",-82.5777,27.6132
"Bishop Harbor 3",-82.571,27.6083
"Bishop Harbor 1",-82.551,27.6067
"Bunces Pass, bottom sample",-82.7163,27.6506
"Bunces Pass, surface sample",-82.7163,27.6506
"1/2 mi W of Skyway Center Span",-82.58333,27.66667
"Tropicana, 1 mi E of",-82.6,27.75
"Skyway, 1 mi E of",-82.58333,27.66667
"1 mi SW of Skyway",-82.65,27.55
"W of Toll Bridge before Skyway",-82.68333,27.68333
"off Tarpon Key, Boca Ceiga Bay",-82.6906,27.65712
"off Tarpon Key, Boca Ciega Bay",-82.6906,27.65712
"Skyway Bridge - surface sample",-82.73283,27.5508
"Skyway Bridge - bottom sample",-82.73283,27.5508
"Skyway Bridge - bottom sample",-82.63492,27.56755
"Skyway Bridge - surface sample",-82.63492,27.56755
"1.5 mi E of Skyway - surface sample",-82.61667,27.61667
"1.5 mi E of Skyway - bottom sample",-82.61667,27.61667
"3 mi E of Tropicana - surface sample",-82.53333,27.73333
"3 mi E of Tropicana - bottom sample",-82.53333,27.73333
"Tampa Bay, E of Skyway. bottom",-82.6469,27.66548
"Tampa Bay, E of Skyway. surface",-82.6469,27.66548
"Tampa Bay, Indian Key, 0.5 mi NW of, bottom",-82.70302,27.70703
"Tampa Bay, Indian Key, 0.5 mi NW of, surface",-82.70302,27.70703
"Anna Maria isl, bottom sample",-82.6951,27.5179
"Anna Maria isl, surface sample",-82.6951,27.5179
"Ft. Desoto, E of, bottom sample",-82.68555,27.618
"Ft. Desoto, E of, surface sample",-82.68555,27.618
"3 mi E of Big Bayou - bottom sample",-82.6,27.71667
"3 mi E of Big Bayou - surface sample",-82.6,27.71667
"Gulfport Marina",-82.6955,27.74075
"Fort DeSoto Channel - bottom sample",-82.71183,27.65012
"Fort DeSoto Channel - surface sample",-82.71183,27.65012
"Skyway span",-82.65,27.61667
"SW side of Skyway channel marker 25",-82.66667,27.6
"2 mi E of Downtown St Pete",-82.61667,27.75
"Tampa Bay Shipping channel, markers 3 and 4",-82.6,27.68333
"Johns Pass",-82.78102,27.7832
"157603 Shore Drive , Pasadena Isle",-82.73765,27.74738
"Bishop Harbor 1",-82.5508,27.6066
"Bishop Harbor 3",-82.5705,27.6082
"Bishop Harbor 4",-82.5777,27.6131
"Desoto Historical Memorial Park",-82.6522,27.5267
"Bishop Harbor 4",-82.5778,27.613
"Bishop Harbor 3",-82.5707,27.6082
"Bishop Harbor 2",-82.5622,27.6075
"Bishop Harbor 1",-82.551,27.6066
"Bishop Harbor 2",-82.562,27.6078
"Bishop Harbor 4",-82.578,27.6132
"Bishop Harbor 3",-82.5707,27.6083
"Bishop Harbor 1",-82.5511,27.6066
"Mullet Key, N of, Bunces Pass",-82.7387,27.64817
"Fort DeSoto State Park",-82.7344,27.61142
"Whale Key, W of",-82.67635,27.66012
"Bunces Pass at Mullet Key Bridge",-82.71608,27.6499
"Old Tampa Bay",-82.6918,27.93675
"Tampa Bay South of Macdill",-82.46877,27.79947
"Anna Maria isl, mkr 68",-82.7017,27.5295
"Mullet Key",-82.73305,27.61208
"Hillsborough Bay",-82.45502,27.84167
"Mouth of Alafia River",-82.39792,27.85367
"bottom 8 mi w Anna Maria Island",-82.53053,27.5129
"Corey Causeway Bridge",-82.745,27.74583
"West end of Pinellas Bayway",-82.72407,27.70992
"Corey Causeway",-82.745,27.7458
"West end of Pinellas Bayway",-82.7241,27.7099
"Corey Causeway Bridge",-82.745,27.7458
"11 mi NE of Anna Maria Island",-82.57833,27.66333
"Bishop Harbor 3",-82.5708,27.6084
"Bishop Harbor 4",-82.5781,27.6129
"Anna Maria isl, mkr 68",-82.7008,27.5364
"Tampa Bay clam lease",-82.6035,27.6073
"Tampa Bay, Brinkley lease site",-82.6035,27.607
"Skyway Bridge, SW",-82.611,27.57567
"Anna Maria Island",-82.7017,27.5295
"Mead Pt",-82.6845,27.5128
"Sawyer Key",-82.69833,27.658
"Bunces Pass",-82.73867,27.648
"Skyway North Pier",-82.67517,27.63367
"North Skyway",-82.6765,27.65917
"Bishop Harbor 2",-82.5623,27.6075
"Bishop Harbor 4",-82.5778,27.6128
"Skyway Bridge, SW of",-82.611,27.57567
"Skyway Bridge, SW of(FDACS)",-82.611,27.57567
"Skyway, North",-82.68306,27.66528
"Bishop Harbor 4",-82.578,27.6131
"Bishop Harbor 4",-82.5788,27.6119
"Egmont Key LT, 2.2 mi S of",-82.7522,27.5643
"Egmont Key LT, 2.6 mi SE of",-82.7215,27.5746
"Egmont Key LT, 3.8 mi E of",-82.68995,27.60405
"Bishop Harbor 4",-82.5778,27.6126
"Bishop Harbor 3",-82.5711,27.6084
"Bishop Harbor 2",-82.5621,27.6076
"Bishop Harbor 4",-82.5778,27.6131
"Mullet Key meat station",-82.7182,27.63807
"South St. Petersburg seawall",-82.67672,27.70686
"Bishop Harbor 4",-82.5782,27.6132
"Anna Maria isl, Rod & Reel Pier",-82.7402,27.5385
